is_extra,ser_num,borough,sex,race,age_bucket,was_frisked,contraband_found,gun_found,weapon_found,arrest_made,summons_issued,physical_force_used,reason_for_stop_2,was_frisked,reason_for_frisk
0,10633,Brooklyn,Male,Other,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Frisked,Refuse to comply with officer directions
0,593,Brooklyn,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Frisked,Refuse to comply with officer directions
0,3484,Queens,Male,Asian/Pacific Islander,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Frisked,Refuse to comply with officer directions
0,567,Bronx,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Casing a victim or location,Frisked,Refuse to comply with officer directions
0,4542,Bronx,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Frisked,Refuse to comply with officer directions
0,6205,Brooklyn,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Refuse to comply with officer directions
0,5895,Queens,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,Arrest made,No summons issued,Force not used,Suspicious bulge,Frisked,Suspicious bulge
0,6080,Bronx,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Suspicious bulge,Frisked,Suspicious bulge
0,671,Bronx,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Suspicious bulge,Frisked,Suspicious bulge
0,4737,Queens,Male,Asian/Pacific Islander,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Suspicious bulge,Frisked,Suspicious bulge
0,499,Queens,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions of engaging in a violent crime,Frisked,Violent crime suspected
0,9612,Brooklyn,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Frisked,Violent crime suspected
0,15126,Brooklyn,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Casing a victim or location,Frisked,Violent crime suspected
0,4711,Staten Island,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Fits a relevant description,Frisked,Violent crime suspected
0,3354,Brooklyn,Female,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Frisked,Violent crime suspected
0,10549,Bronx,Male,White,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Frisked,Violent crime suspected
0,8541,Bronx,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Fits a relevant description,Frisked,Violent crime suspected
0,5782,Bronx,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Frisked,Violent crime suspected
0,974,Queens,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Fits a relevant description,Frisked,Violent crime suspected
0,790,Manhattan,Male,Black,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Violent crime suspected
0,1725,Queens,Male,Asian/Pacific Islander,16 to 19,Frisked,No contraband found,No gun found,Weapon found,No arrest made,No summons issued,Force not used,Furtive movements,Frisked,Violent crime suspected
0,5036,Queens,Male,White,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force used,Suspect acting as a lookout,Frisked,Violent crime suspected
0,17389,Manhattan,Male,Black,16 to 19,Frisked,Contraband found,No gun found,No weapon found,Arrest made,No summons issued,Force used,Furtive movements,Frisked,Other suspicion of weapons
0,4312,Bronx,Male,White Hispanic,16 to 19,Frisked,No contraband found,No gun found,No weapon found,No arrest made,Summons issued,Force used,Furtive movements,Frisked,Actions of engaging in a violent crime
0,1142,Manhattan,Male,White Hispanic,20 to 29,Frisked,No contraband found,No gun found,No weapon found,No arrest made,Summons issued,Force used,Actions indicative of a drug transaction,Frisked,Furtive movements
0,2572,Brooklyn,Male,Black,20 to 29,Frisked,No contraband found,No gun found,No weapon found,No arrest made,Summons issued,Force not used,Furtive movements,Frisked,Violent crime suspected
0,4958,Manhattan,Male,Black,20 to 29,Frisked,Contraband found,No gun found,No weapon found,No arrest made,Summons issued,Force not used,Actions of engaging in a violent crime,Frisked,Actions of engaging in a violent crime
0,9227,Queens,Male,White Hispanic,20 to 29,Frisked,Contraband found,No gun found,No weapon found,No arrest made,Summons issued,Force not used,Fits a relevant description,Frisked,Violent crime suspected
0,1424,Manhattan,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Not frisked,do_not_include
0,4017,Manhattan,Male,White Hispanic,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Not frisked,do_not_include
0,634,Brooklyn,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Not frisked,do_not_include
0,8788,Staten Island,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions indicative of a drug transaction,Not frisked,do_not_include
0,8007,Brooklyn,Male,Black,20 to 29,Not frisked,No contraband found,No gun found,No weapon found,No arrest made,No summons issued,Force not used,Actions of engaging in a violent crime,Not frisked,do_not_include
