is_extra,ser_num,datestop,timestop,borough,sex,race,age,age_bucket,was_frisked,contrabn,contraband_found,pistol,riflshot,asltweap,knifcuti,machgun,othrweap,gun_found,weapon_found,arrest_made,sumissue,summons_issued,perobs,perstop,pf_hands,pf_wall,pf_grnd,pf_drwep,pf_ptwep,pf_baton,pf_hcuff,pf_pepsp,pf_other,physical_force_used,cs_objcs,cs_descr,cs_casng,cs_lkout,cs_cloth,cs_drgtr,cs_furtv,cs_vcrim,cs_bulge,cs_other,reason_for_stop_2,rf_vcrim,rf_othsw,rf_attir,rf_vcact,rf_rfcmp,rf_verbl,rf_knowl,rf_furt,rf_bulg,was_frisked,reason_for_frisk,xcoord,ycoord
0,6376,6042012,255,Brooklyn,Male,Black,19,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,0,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,994977,174400
0,259,1082012,108,Manhattan,Male,White Hispanic,17,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,3,3,1,0,0,0,0,0,0,0,0,Force used,0,0,1,0,0,0,1,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,1000392,237335
0,9766,3212012,1109,Brooklyn,Male,White Hispanic,19,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,3,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,1,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,1011940,183369
0,1666,2112012,1705,Bronx,Male,White Hispanic,16,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,3,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,1,0,0,1,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,1014945,237493
0,3661,4162012,550,Queens,Male,White,19,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,1,0,0,0,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,1027096,222265
0,1733,2092012,1400,Bronx,Male,Black,19,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,1,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,0,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,1027583,268583
0,1511,3072012,1245,Queens,Male,Asian/Pacific Islander,17,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,1,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,1031113,187855
0,2594,3092012,1420,Queens,Male,Other,18,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,2,0,0,0,0,0,0,0,0,0,Force not used,0,0,1,0,0,0,1,0,0,0,Casing a victim or location,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,1031236,218694
0,2161,2202012,745,Brooklyn,Male,White Hispanic,16,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,2,5,0,0,0,0,0,0,0,0,0,Force not used,0,1,0,0,0,0,1,0,0,0,Fits a relevant description,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,1004204,191728
0,4489,5232012,1935,Queens,Male,Black,19,16 to 19,Frisked,0,No contraband found,0,0,0,0,0,0,No gun found,No weapon found,No arrest made,0,No summons issued,1,5,0,0,0,0,0,0,0,0,0,Force not used,0,1,0,0,0,0,1,0,0,0,Furtive movements,0,0,0,0,0,0,0,1,0,Frisked,Furtive movements,1047841,181842
